
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,All,All,All,Female,2019/20,11685
01 Medicine and dentistry,All,All,All,Male,2019/20,7490
01 Medicine and dentistry,All,All,All,Other,2019/20,30
01 Medicine and dentistry,All,All,All,Total,2019/20,19205
01 Medicine and dentistry,All,All,All,Female,2020/21,11925
01 Medicine and dentistry,All,All,All,Male,2020/21,7450
01 Medicine and dentistry,All,All,All,Other,2020/21,40
01 Medicine and dentistry,All,All,All,Total,2020/21,19415
01 Medicine and dentistry,All,Full-time,All,Female,2019/20,9610
01 Medicine and dentistry,All,Full-time,All,Male,2019/20,6185
01 Medicine and dentistry,All,Full-time,All,Other,2019/20,25
01 Medicine and dentistry,All,Full-time,All,Total,2019/20,15820
01 Medicine and dentistry,All,Full-time,All,Female,2020/21,9510
01 Medicine and dentistry,All,Full-time,All,Male,2020/21,5920
01 Medicine and dentistry,All,Full-time,All,Other,2020/21,20
01 Medicine and dentistry,All,Full-time,All,Total,2020/21,15450
01 Medicine and dentistry,All,Part-time,All,Female,2019/20,2075
01 Medicine and dentistry,All,Part-time,All,Male,2019/20,1300
01 Medicine and dentistry,All,Part-time,All,Other,2019/20,10
01 Medicine and dentistry,All,Part-time,All,Total,2019/20,3385
01 Medicine and dentistry,All,Part-time,All,Female,2020/21,2415
01 Medicine and dentistry,All,Part-time,All,Male,2020/21,1530
01 Medicine and dentistry,All,Part-time,All,Other,2020/21,20
01 Medicine and dentistry,All,Part-time,All,Total,2020/21,3965
01 Medicine and dentistry,All,All,England,Female,2019/20,9420
01 Medicine and dentistry,All,All,England,Male,2019/20,6105
01 Medicine and dentistry,All,All,England,Other,2019/20,25
01 Medicine and dentistry,All,All,England,Total,2019/20,15550
01 Medicine and dentistry,All,All,England,Female,2020/21,9650
01 Medicine and dentistry,All,All,England,Male,2020/21,6085
01 Medicine and dentistry,All,All,England,Other,2020/21,35
01 Medicine and dentistry,All,All,England,Total,2020/21,15770
01 Medicine and dentistry,All,Full-time,England,Female,2019/20,7620
01 Medicine and dentistry,All,Full-time,England,Male,2019/20,4970
01 Medicine and dentistry,All,Full-time,England,Other,2019/20,15
01 Medicine and dentistry,All,Full-time,England,Total,2019/20,12605
01 Medicine and dentistry,All,Full-time,England,Female,2020/21,7690
01 Medicine and dentistry,All,Full-time,England,Male,2020/21,4840
01 Medicine and dentistry,All,Full-time,England,Other,2020/21,20
01 Medicine and dentistry,All,Full-time,England,Total,2020/21,12555
01 Medicine and dentistry,All,Part-time,England,Female,2019/20,1805
01 Medicine and dentistry,All,Part-time,England,Male,2019/20,1135
01 Medicine and dentistry,All,Part-time,England,Other,2019/20,10
01 Medicine and dentistry,All,Part-time,England,Total,2019/20,2945
01 Medicine and dentistry,All,Part-time,England,Female,2020/21,1960
01 Medicine and dentistry,All,Part-time,England,Male,2020/21,1240
01 Medicine and dentistry,All,Part-time,England,Other,2020/21,15
01 Medicine and dentistry,All,Part-time,England,Total,2020/21,3215
01 Medicine and dentistry,All,All,Northern Ireland,Female,2019/20,300
01 Medicine and dentistry,All,All,Northern Ireland,Male,2019/20,190
01 Medicine and dentistry,All,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,All,Northern Ireland,Total,2019/20,490
01 Medicine and dentistry,All,All,Northern Ireland,Female,2020/21,345
01 Medicine and dentistry,All,All,Northern Ireland,Male,2020/21,200
01 Medicine and dentistry,All,All,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,All,All,Northern Ireland,Total,2020/21,540
01 Medicine and dentistry,All,Full-time,Northern Ireland,Female,2019/20,270
01 Medicine and dentistry,All,Full-time,Northern Ireland,Male,2019/20,170
01 Medicine and dentistry,All,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Full-time,Northern Ireland,Total,2019/20,440
01 Medicine and dentistry,All,Full-time,Northern Ireland,Female,2020/21,320
01 Medicine and dentistry,All,Full-time,Northern Ireland,Male,2020/21,185
01 Medicine and dentistry,All,Full-time,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,All,Full-time,Northern Ireland,Total,2020/21,505
01 Medicine and dentistry,All,Part-time,Northern Ireland,Female,2019/20,30
01 Medicine and dentistry,All,Part-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,All,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Part-time,Northern Ireland,Total,2019/20,55
01 Medicine and dentistry,All,Part-time,Northern Ireland,Female,2020/21,25
01 Medicine and dentistry,All,Part-time,Northern Ireland,Male,2020/21,10
01 Medicine and dentistry,All,Part-time,Northern Ireland,Other,2020/21,0
01 Medicine and dentistry,All,Part-time,Northern Ireland,Total,2020/21,35
01 Medicine and dentistry,All,All,Scotland,Female,2019/20,1350
01 Medicine and dentistry,All,All,Scotland,Male,2019/20,850
01 Medicine and dentistry,All,All,Scotland,Other,2019/20,5
01 Medicine and dentistry,All,All,Scotland,Total,2019/20,2205
01 Medicine and dentistry,All,All,Scotland,Female,2020/21,1305
01 Medicine and dentistry,All,All,Scotland,Male,2020/21,825
01 Medicine and dentistry,All,All,Scotland,Other,2020/21,5
01 Medicine and dentistry,All,All,Scotland,Total,2020/21,2135
01 Medicine and dentistry,All,Full-time,Scotland,Female,2019/20,1230
